w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.875,10.75,17436,0.00001,0.02325,0.23462,0.89652,0.73653,0.21034,0.17280,0.00215,0.00176,0.00240
1.9249999999999998,2.25,17580,0.00026,19.25495,4.19745,1.37731,1.39677,5.78120,5.86287,0.06049,0.06134,0.04392
1.9249999999999998,2.75,17297,0.00017,9.05153,3.03381,1.31071,1.29729,3.97643,3.93574,0.04114,0.04072,0.03139
1.9249999999999998,3.25,17601,0.00012,4.80383,2.26732,1.25573,1.21703,2.84714,2.75939,0.02921,0.02831,0.02326
1.9249999999999998,3.75,17507,0.00009,2.72024,1.77649,1.20923,1.15047,2.14817,2.04379,0.02216,0.02108,0.01833
1.9249999999999998,4.25,17269,0.00007,1.62210,1.43240,1.16914,1.09409,1.67467,1.56717,0.01727,0.01617,0.01478
1.9249999999999998,4.75,17464,0.00005,1.03074,1.17058,1.13406,1.04552,1.32751,1.22386,0.01357,0.01251,0.01196
1.9249999999999998,5.25,17373,0.00004,0.66193,0.96262,1.10298,1.00310,1.06175,0.96560,0.01096,0.00997,0.00994
1.9249999999999998,5.75,17555,0.00003,0.45657,0.82253,1.07516,0.96562,0.88435,0.79425,0.00904,0.00812,0.00841
1.9249999999999998,6.25,17583,0.00003,0.31465,0.69794,1.05004,0.93219,0.73286,0.65061,0.00742,0.00659,0.00707
1.9249999999999998,6.75,17672,0.00002,0.22497,0.60435,1.02720,0.90213,0.62079,0.54520,0.00625,0.00549,0.00608
1.9249999999999998,7.25,17326,0.00002,0.15625,0.51520,1.00629,0.87489,0.51844,0.45074,0.00527,0.00458,0.00524
1.9249999999999998,7.75,17412,0.00001,0.11697,0.45714,0.98704,0.85007,0.45122,0.38860,0.00456,0.00393,0.00462
1.9249999999999998,8.25,17502,0.00001,0.08758,0.40190,0.96924,0.82732,0.38954,0.33250,0.00391,0.00334,0.00404
1.9249999999999998,8.75,17490,0.00001,0.06667,0.35837,0.95270,0.80637,0.34142,0.28898,0.00344,0.00291,0.00361
1.9249999999999998,9.25,17494,0.00001,0.05176,0.32310,0.93728,0.78699,0.30283,0.25428,0.00305,0.00256,0.00326
1.9249999999999998,9.75,17323,0.00001,0.03919,0.28504,0.92284,0.76899,0.26305,0.21920,0.00265,0.00221,0.00287
1.9249999999999998,10.25,17382,0.00001,0.03147,0.26142,0.90929,0.75221,0.23771,0.19665,0.00240,0.00199,0.00264
1.9249999999999998,10.75,17675,0.00001,0.02554,0.23771,0.89652,0.73653,0.21311,0.17508,0.00213,0.00175,0.00238
1.975,2.25,17301,0.00027,19.37632,4.18655,1.37731,1.39677,5.76619,5.84764,0.06230,0.06318,0.04524
1.975,2.75,17137,0.00018,9.26576,3.04100,1.31071,1.29729,3.98586,3.94507,0.04313,0.04269,0.03291
1.975,3.25,17453,0.00012,4.97597,2.28769,1.25573,1.21703,2.87272,2.78419,0.03069,0.02975,0.02444
1.975,3.75,17355,0.00009,2.77801,1.76124,1.20923,1.15047,2.12974,2.02625,0.02261,0.02151,0.01870
1.975,4.25,17301,0.00007,1.66670,1.40939,1.16914,1.09409,1.64777,1.54199,0.01766,0.01652,0.01510
1.975,4.75,17268,0.00005,1.05120,1.15520,1.13406,1.04552,1.31007,1.20778,0.01377,0.01270,0.01214
1.975,5.25,17235,0.00004,0.67755,0.94805,1.10298,1.00310,1.04568,0.95098,0.01102,0.01002,0.00999
1.975,5.75,17231,0.00003,0.46062,0.80524,1.07516,0.96562,0.86576,0.77756,0.00920,0.00827,0.00856
1.975,6.25,17512,0.00003,0.32247,0.68270,1.05004,0.93219,0.71687,0.63641,0.00747,0.00663,0.00712
1.975,6.75,17290,0.00002,0.22493,0.58605,1.02720,0.90213,0.60199,0.52869,0.00634,0.00557,0.00618
1.975,7.25,17312,0.00002,0.16285,0.50911,1.00629,0.87489,0.51231,0.44542,0.00532,0.00462,0.00528
1.975,7.75,17459,0.00002,0.12041,0.44393,0.98704,0.85007,0.43818,0.37737,0.00462,0.00398,0.00468
1.975,8.25,17375,0.00001,0.09023,0.39398,0.96924,0.82732,0.38186,0.32595,0.00397,0.00339,0.00409
1.975,8.75,17493,0.00001,0.07017,0.35569,0.95270,0.80637,0.33887,0.28682,0.00352,0.00298,0.00369
